lemma,saliency rank,saliency score
eat,1,45.89167652881282
money,2,36.36770667643923
beautiful,3,33.27972831951669
pain,4,32.14349435029403
warm,5,31.188424009490458
people,6,30.172632397689057
food,7,29.80829211817269
experiment,8,28.86610070082999
sea,9,27.788567266631844
vacation,10,26.37387635056949
clothe,11,25.748234953901864
school,12,25.633885488603156
large,13,23.18908184856157
fun,14,22.52391113668167
sun,15,21.526987738952318
sad,16,21.48053550340784
color,17,20.523875357370002
silver,18,20.471519943783875
joy,19,20.32065671365352
sadness,20,20.148291335479726
animal,21,20.105345955577317
dangerous,22,19.77497574507417
journey,23,18.24829932018794
love,24,18.219552142796086
heat,25,18.132732321281846
thick,26,17.906617936101757
big,27,17.7983707592604
physical,28,17.664975806429325
dark,29,17.576909148388523
national,30,17.53357938903854
force,31,17.35383424056367
clothing,32,17.081349062218667
sport,33,17.000003240841618
water,34,16.931425226706253
hospital,35,16.481639528449236
church,36,16.30405309770131
war,37,16.238194351948348
field,38,15.915839273060207
many,39,15.83985196797056
life,40,15.838987445732343
fast,41,15.805864767344701
around,42,15.763146460555163
party,43,15.617555218927166
movement,44,15.520678442944268
game,45,15.252272941906824
phone,46,15.165965493179176
slim,47,15.159806808610771
shop,48,15.136712551905378
car,49,15.070759799039593
music,50,14.982462064518218
female,51,14.703477430370995
bird,52,14.622433757069825
disease,53,14.595475932702769
small,54,14.483084777970031
health,55,14.383762638616167
good,56,14.365424979586491
happy,57,14.277281228392207
summer,58,14.155011867495492
star,59,13.971069201775219
path,60,13.885911631603777
rest,61,13.869967459436669
army,62,13.808727681359288
sex,63,13.67084221813737
child,64,13.480405676622494
film,65,13.462722286778252
nature,66,13.316612080039071
peace,67,13.177741844373426
annoying,68,13.136932808693738
disgusting,69,13.089041235388455
teacher,70,12.886885017384653
thesis,71,12.87885726222162
sweet,72,12.82036682896936
stench,73,12.744631362029848
old,74,12.590506501838442
like,75,12.508155692490705
soft,76,12.48048944986257
place,77,12.458869108038822
bad,78,12.34302702296944
chemistry,79,12.34052461106899
round,80,12.24690460665563
happiness,81,12.195769931627298
scare,82,12.183176280763758
suffer,83,12.179310467551545
smart,84,12.177218011734881
know,85,12.149022107445925
woman,86,12.115434653671922
ugly,87,12.109683071002422
novel,88,12.053372225605429
yellow,89,11.95706234141233
cold,90,11.94227564774333
man,91,11.890777732911257
need,92,11.860282137005445
ocean,93,11.791426350973536
red,94,11.728210295733133
only,95,11.632332055405795
garden,96,11.537977675366925
union,97,11.440272063578176
hurt,98,11.430564407531437
negative,99,11.408131764898455
stop,100,11.39725937334499
road,101,11.363949068717435
walk,102,11.306754895307733
science,103,11.19651618541283
kid,104,11.196148216459452
paper,105,11.049647780762456
wrong,106,11.025097729052975
bike,107,10.976617637142198
body,108,10.94433138257165
difficulty,109,10.936411711787306
smell,110,10.906703911307204
book,111,10.880868013894569
computer,112,10.721929676684036
care,113,10.664793041241403
street,114,10.659471945970424
green,115,10.657163993510077
talk,116,10.613575830644379
dog,117,10.603756545674944
security,118,10.546070552900488
fail,119,10.545672674073044
political,120,10.520586557132125
police,121,10.386228716220874
study,122,10.38178132173129
tourism,123,10.313439946579145
mean,124,10.27945055902018
fear,125,10.265803785740912
sick,126,10.228483365430787
house,127,10.222984007490414
bang,128,10.22293045921452
doctor,129,10.093228792384998
comfortable,130,9.980605940785697
family,131,9.94828933412122
company,132,9.784681006727213
elderly,133,9.772044439624093
universe,134,9.766016930869023
letter,135,9.690414113554374
intelligence,136,9.68208408548364
together,137,9.63787460216654
darkness,138,9.626202867743643
read,139,9.623413566502697
down,140,9.619446965989074
nice,141,9.618375976762604
tree,142,9.556390383082604
beach,143,9.545405788503606
research,144,9.509658810843314
tire,145,9.50200900549558
king,146,9.454265474595356
successful,147,9.44590788524976
terror,148,9.201444039917995
horse,149,9.199259203209042
fire,150,9.183209277642849
free,151,9.182653175855448
arm,152,9.163341674434587
crime,153,9.153866122202684
work,154,9.125408487747983
all,155,9.117673408226961
fish,156,9.105285149428653
clean,157,9.091257010973415
social,158,8.981592646133405
boss,159,8.974250931253973
son,160,8.958021225698882
danger,161,8.951932868016371
stress,162,8.951901471648988
football,163,8.880332909675786
mind,164,8.860649477515867
lover,165,8.85168069987467
hate,166,8.823743255955279
personality,167,8.807928036788454
explosion,168,8.772704125496919
complicated,169,8.769959771773497
earth,170,8.755999793574398
law,171,8.753194273150111
blood,172,8.710866594510536
honest,173,8.680058849185075
sky,174,8.675180180767073
face,175,8.669578955088626
ball,176,8.665888164078984
rare,177,8.64599158428688
show,178,8.611684511288592
apple,179,8.592295906456327
wet,180,8.579080599710636
expensive,181,8.505347418524007
circular,182,8.482884130802809
hunger,183,8.475950156232093
important,184,8.448492985372345
freedom,185,8.43682306366744
religious,186,8.431089639180264
order,187,8.392473983208872
positive,188,8.382861331106275
amount,189,8.374117545205618
ship,190,8.29924631917918
white,191,8.280316872900116
black,192,8.15402104352997
childhood,193,8.15114957586394
run,194,8.092310818163698
pressure,195,8.0768425163352
couple,196,8.004819360497276
friend,197,7.967615153928021
substance,198,7.942630716615596
cooking,199,7.933957159136623
arithmetic,200,7.932401305586943
girl,201,7.9193201855972735
one,202,7.917916652845502
brown,203,7.917225327873149
home,204,7.8794516656476885
leadership,205,7.865123099000474
learn,206,7.857000896531099
fruit,207,7.849780548234867
hard,208,7.8273068396087355
loud,209,7.824157911460669
opportunity,210,7.818496532608692
smile,211,7.751207180247244
noise,212,7.7463453564423865
top,213,7.740694106797981
le,214,7.710051778143262
air,215,7.7100364819041145
state,216,7.6597515904983755
dirty,217,7.611020884760849
ice,218,7.59973081479705
winter,219,7.587776039668599
fat,220,7.581224246023467
final,221,7.5752240599906315
funny,222,7.572038451740655
advertising,223,7.557840535350264
year,224,7.5124665124016845
basketball,225,7.509499123776973
cut,226,7.472215132856505
grey,227,7.456377853410634
discomfort,228,7.428070551949158
head,229,7.4251524704157985
see,230,7.3664548978517175
respect,231,7.306908498329309
young,232,7.298209642832658
rich,233,7.267112884277225
boundary,234,7.2365657181103895
store,235,7.209466009778682
sleep,236,7.1815672139182
group,237,7.158990150337911
time,238,7.155309463979366
art,239,7.12821978164717
diet,240,7.104375756405699
glass,241,7.102774759355993
communication,242,7.096390423691037
cheerful,243,7.085166941202277
student,244,7.071649322592234
land,245,7.065822860683584
boat,246,7.030115071975462
psychological,247,7.024365086289073
eye,248,7.018233548733941
building,249,7.007505581401384
nervous,250,6.978452375815636
laugh,251,6.973223480211783
youth,252,6.9693007866195025
world,253,6.958434469647461
bright,254,6.941476239787296
heavy,255,6.89370829742033
rock,256,6.887576685981976
dream,257,6.884745181061341
test,258,6.854841650631093
loyalty,259,6.845411021034601
cuisine,260,6.7934982417197665
number,261,6.791574662999371
chief,262,6.790058003392012
bed,263,6.768140397491315
wedding,264,6.7487195678405865
responsibility,265,6.7381401493191415
cat,266,6.715363900893491
activity,267,6.6956908584043875
train,268,6.691496887905248
word,269,6.686115961188629
effort,270,6.662169358594708
pant,271,6.657794012875673
cleaning,272,6.641752942206706
forever,273,6.632692567894125
forest,274,6.6173087007889455
thought,275,6.604089424487041
catastrophe,276,6.554551310954974
weapon,277,6.549429924504237
feel,278,6.540397840957195
bug,279,6.5257303603657775
government,280,6.521359612503088
economy,281,6.517801755042615
method,282,6.51110849253581
violence,283,6.4930945430100895
story,284,6.4719805454116095
value,285,6.469989772931745
punishment,286,6.4609965144792
sharp,287,6.405895903477154
light,288,6.393541906713933
share,289,6.338047721890032
friendship,290,6.3335614422723125
biology,291,6.316860748087419
orange,292,6.307643845954545
organization,293,6.292851450764787
safe,294,6.285012763856145
serious,295,6.26630095908105
hit,296,6.264586756864652
back,297,6.252251989440614
change,298,6.199481958914022
open,299,6.141748721494224
box,300,6.13069237284273
education,301,6.122274476696026
environment,302,6.108782598255414
evil,303,6.103687117772065
tribunal,304,6.103434300200555
blue,305,6.0887414824711055
muscular,306,6.088582671087533
prison,307,6.083648219509354
think,308,6.060711730390232
handsome,309,6.047510082428361
writing,310,6.045557781426735
baby,311,6.040181043411232
poor,312,6.03313305552097
drink,313,6.028274166024481
mysterious,314,6.0017769299531825
journal,315,6.000760454499832
skin,316,5.997351045998989
two,317,5.987640241026317
necessary,318,5.958029412464863
boring,319,5.952064303471696
error,320,5.949340025265145
desire,321,5.930282780936686
farm,322,5.9138104532177085
affection,323,5.903172694844507
information,324,5.890473044379843
unhealthy,325,5.88906471751535
beauty,326,5.884434006070168
ideal,327,5.873253459214979
history,328,5.852707199667116
speak,329,5.826800502156006
injure,330,5.80725679324431
arena,331,5.805757812277201
classmate,332,5.7963206439118125
form,333,5.796210944211907
diploma,334,5.779893534825654
fall,335,5.770534533016259
development,336,5.764414820203154
hiking,337,5.757008142441659
pay,338,5.754998740852166
race,339,5.742881300312391
follow,340,5.712970054267657
far,341,5.707438266349427
queen,342,5.686038913546964
news,343,5.668053210487436
swimming,344,5.661437132536005
technology,345,5.639927916951098
fight,346,5.638024034252502
discussion,347,5.611553872273202
relationship,348,5.607107708552275
day,349,5.600208127732103
instrument,350,5.595923793653296
less,351,5.593894877643243
marriage,352,5.567893807508456
princess,353,5.561066759722761
stupid,354,5.560019437144444
moment,355,5.552107443360969
cheese,356,5.548046392192382
fake,357,5.537266575399426
new,358,5.512344822626098
merchandise,359,5.509033895071316
tear,360,5.507270296465571
pie,361,5.472567566458673
country,362,5.450265492693619
past,363,5.43914861550916
men,364,5.43189254591422
soup,365,5.429461310473526
strict,366,5.4215720187000365
mine,367,5.408837263969293
actor,368,5.401226932687934
sign,369,5.394231360411336
bread,370,5.3931021055681505
result,371,5.3894457315147
quality,372,5.379420116538244
dress,373,5.379299067238958
pull,374,5.376147669839885
kill,375,5.369014770766863
gold,376,5.355309293781158
parent,377,5.346768015621162
strong,378,5.343406924007183
brain,379,5.338720655967452
present,380,5.337541704697438
lose,381,5.327139566101254
door,382,5.321251541003379
object,383,5.261994043568833
post,384,5.259534265644254
rain,385,5.255367046368861
worker,386,5.25243261960406
power,387,5.246203622091935
snow,388,5.223914091509161
protection,389,5.222748738257343
closet,390,5.211225573249842
conference,391,5.2069967544739
goat,392,5.205404451053272
exchange,393,5.204679243131022
purchase,394,5.201509384066609
brightness,395,5.175733734041073
genre,396,5.175609295470967
vegetable,397,5.174556752793707
cinema,398,5.169705436954569
clear,399,5.165564153461283
medicine,400,5.151319060369863
necessity,401,5.148964101525589
response,402,5.14667092457462
male,403,5.140921897057284
graduate,404,5.125634507867713
belly,405,5.079192738945571
hole,406,5.073909720894548
accident,407,5.058806525922326
skirt,408,5.051739000523055
route,409,5.04388166191488
aroma,410,5.034118530979507
watermelon,411,5.024706660479267
birthday,412,5.023435379345532
theft,413,5.0084571953345325
cure,414,5.000629412840274
confidence,415,4.987243637536406
coffee,416,4.986955254983327
alcohol,417,4.974754813167499
lonely,418,4.972217534452772
rejection,419,4.968755233302047
tool,420,4.9657928179543935
personal,421,4.965501547019172
memory,422,4.955132202003946
location,423,4.947029496304452
trip,424,4.944022925121765
article,425,4.941657126692228
teen,426,4.939397380896655
dancing,427,4.929965468650444
crowd,428,4.928247240734162
confinement,429,4.927165731936377
soil,430,4.918461381444427
long,431,4.911140173178215
argument,432,4.898127861007145
natural,433,4.896330576928866
elegant,434,4.889272423651297
camera,435,4.885560909268207
end,436,4.8855005353588625
imagination,437,4.878710961022926
crowded,438,4.869776131036894
emperor,439,4.858634222676671
election,440,4.855295876875234
photo,441,4.85243224700841
