lemma,language,saliency rank,saliency score
eat,nl,1,16.5281599801889
experiment,zh,2,14.454311298937755
beautiful,nl,3,12.96634338241363
warm,nl,4,12.634372309386467
clothe,zh,5,12.376153410634693
vacation,nl,6,12.18049929134036
money,nl,7,11.368753187209684
people,zh,8,10.932049645908139
national,zh,9,10.74582779493477
slim,nl,10,10.693725416158998
dangerous,nl,11,10.389975555080648
pain,nl,12,10.383751021822704
silver,es,13,10.316633430809965
thick,nl,14,10.18454826184045
force,es,15,10.178434733945087
around,nl,16,10.149520404136553
food,en,17,10.03069643692573
sea,nl,18,10.000808725446305
stench,nl,19,9.805004562522768
physical,zh,20,9.773699067388456
thesis,zh,21,9.449975281920498
school,nl,22,9.4283783108374
journey,es,23,9.4110320319193
sadness,es,24,9.290680094327678
round,en,25,9.287994001017783
joy,es,26,9.09180253656742
sad,en,27,9.035788455115977
path,es,28,9.025449883440961
party,en,29,8.995501675317726
shop,nl,30,8.750534133708868
fun,nl,31,8.59518605926964
large,nl,32,8.549040726398779
color,es,33,8.458211475218173
kid,zh,34,8.348455849907904
union,es,35,8.233560160236788
female,zh,36,8.224021501037287
scare,zh,37,8.216872839403468
field,es,38,8.204332673163384
sun,nl,39,8.153395850406596
only,nl,40,8.120217300962453
tourism,zh,41,8.075946138477201
big,zh,42,8.066451230663628
disgusting,zh,43,8.05636748569454
clothing,es,44,8.0179886377039
wrong,en,45,7.860739218870476
security,es,46,7.845561991511281
rest,nl,47,7.835193875071699
mean,en,48,7.831607311030761
smart,en,49,7.831136174276615
phone,zh,50,7.80609779584656
bang,nl,51,7.718966407190745
suffer,zh,52,7.710596309390079
annoying,nl,53,7.701874287624215
fail,zh,54,7.694494229579527
novel,zh,55,7.680931414561462
le,nl,56,7.669673705846914
heat,es,57,7.638766669837206
successful,zh,58,7.623312099355029
fast,es,59,7.6009704551576185
movement,zh,60,7.580186304064333
nice,en,61,7.537919831838006
circular,zh,62,7.53333945616653
like,zh,63,7.509116255641396
difficulty,zh,64,7.498131010543984
arithmetic,nl,65,7.402815373673149
many,nl,66,7.362987330764453
know,es,67,7.322917711798394
sport,nl,68,7.2903446423647384
dark,nl,69,7.289496665354875
leadership,zh,70,7.281678274119889
stop,en,71,7.2662335647908405
lover,zh,72,7.196313047842237
down,en,73,7.1769122233409774
political,zh,74,7.161801857059525
bike,nl,75,7.129359279803504
star,zh,76,7.096463687016712
need,nl,77,7.009962223214342
animal,es,78,7.001687870383359
army,nl,79,6.992806317483867
church,nl,80,6.964623653796778
comfortable,zh,81,6.942836876299941
hospital,zh,82,6.907753285399542
peace,es,83,6.898895341167649
elderly,zh,84,6.878145454764072
psychological,zh,85,6.828040537424857
discomfort,es,86,6.822993983097963
explosion,zh,87,6.81378548823978
bird,en,88,6.792736094448809
hurt,en,89,6.787839923415708
intelligence,es,90,6.658129993309954
chief,es,91,6.623182030718928
religious,zh,92,6.598270260654304
tribunal,zh,93,6.575763287756312
teacher,zh,94,6.479219341527809
amount,es,95,6.465509826216889
boundary,es,96,6.456214340000111
place,es,97,6.427455204274693
forever,en,98,6.42251625973522
terror,zh,99,6.389038166088188
all,es,100,6.38244108002251
final,es,101,6.370338142676997
care,es,102,6.361446291697029
show,en,103,6.357053203154233
injure,zh,104,6.347412518798196
negative,nl,105,6.3172552159723345
handsome,zh,106,6.291603343382498
garden,nl,107,6.288701380386724
journal,nl,108,6.2839027028205034
chemistry,zh,109,6.263977785411699
hit,en,110,6.260743013769985
writing,en,111,6.232016910272951
substance,nl,112,6.2293245407424
nature,nl,113,6.21058095362125
health,es,114,6.207245951079201
love,es,115,6.1467442020396
arena,es,116,6.124788778771162
talk,en,117,6.112832837021971
honest,nl,118,6.1033765570233705
complicated,zh,119,6.100198340489852
disease,es,120,6.077495807407214
walk,nl,121,6.076168971606613
muscular,zh,122,6.075285395857701
ocean,en,123,6.0642470901938585
soft,nl,124,6.055741159150909
son,es,125,6.054039922713987
basketball,zh,126,6.038329773698459
hiking,nl,127,6.032545531993466
summer,nl,128,6.025774682928852
rare,es,129,6.012627969177668
loud,en,130,5.995299290079069
personality,zh,131,5.980874163544777
couple,es,132,5.977622393824978
diploma,nl,133,5.96386337251439
conference,zh,134,5.957663503123868
ugly,es,135,5.954660087332768
fondue,zh,136,5.942517042913381
small,nl,137,5.939684099937606
