lemma,language,saliency rank,saliency score
one,zh,1,54.13782955394809
still,nl,2,34.12724150225969
people,zh,3,29.51939247357027
le,es,4,27.799462279658233
also,zh,5,27.714892612143565
fun,nl,6,27.26185699724227
well,nl,7,27.11988222989671
then,nl,8,22.30719816397311
get,en,9,21.480324899061237
must,nl,10,20.76080769933491
beautiful,nl,11,20.700410078145012
all,es,12,19.69192223674212
but,nl,13,19.68664436076852
become,nl,14,19.487637338557114
don,en,15,19.40432057316063
big,zh,16,18.75644885293086
can,nl,17,18.017486724855097
same,es,18,17.144782341338118
also,nl,19,17.116828205499832
net,nl,20,16.887039986459982
many,nl,21,16.797431883368095
very,es,22,16.1790355277032
will,en,23,15.328164263376744
like,en,24,14.876864422089975
say,zh,25,13.948358477433505
love,en,26,13.743986724838853
two,zh,27,13.547871754538097
more,es,28,13.500452694890463
about,nl,29,13.37564535144744
remain,nl,30,12.977450325379184
stand,nl,31,12.944081840698413
down,en,32,12.880395717927247
good,nl,33,12.586977102034064
right,en,34,12.415776325434612
method,zh,35,12.28541276057924
some,en,36,12.101971729272837
bad,es,37,11.922680459459583
before,zh,38,11.512482816114312
large,nl,39,11.465831150926663
comparison,zh,40,11.132902930062581
back,en,41,10.972046173871423
natural,nl,42,10.930752837730132
small,zh,43,10.758898135412405
dialect,zh,44,10.57589711868323
show,en,45,10.379912606687235
good,es,46,10.294598959520842
road,nl,47,10.226652803235615
counter,es,48,10.142460126780042
problem,zh,49,10.1349246924173
know,en,50,10.084885121949247
may,en,51,10.07181527261015
strip,zh,52,9.880292292968024
recent,zh,53,9.84821994731634
search,nl,54,9.74961284046691
three,zh,55,9.64900648519277
try,en,56,9.558597698763238
morning,nl,57,9.544730054324601
push,zh,58,9.465595049092846
think,en,59,9.452629524838063
who,en,60,9.235896749405178
nice,en,61,9.19732936841308
need,en,62,9.136824653284508
classmate,zh,63,9.055337582728427
day,es,64,8.99390236370776
speak,es,65,8.878723275731733
far,nl,66,8.85186799572246
national,zh,67,8.84011047592856
truth,es,68,8.786607489832434
point,zh,69,8.767875819842477
hello,es,70,8.736950376204021
mean,en,71,8.726901238041176
sing,zh,72,8.72590846322222
can,en,73,8.701676521923007
teacher,zh,74,8.667615639605089
form,es,75,8.588329352481892
eat,zh,76,8.50883722841723
state,nl,77,8.503325412520418
talk,en,78,8.415331900966835
final,es,79,8.410778874267365
post,en,80,8.406319768766865
call,en,81,8.402272272989498
saint,es,82,8.388890299725688
see,nl,83,8.343137429773874
often,nl,84,8.316154795145707
photo,nl,85,8.274098662659501
each,es,86,8.25080648955726
possible,zh,87,8.221324259923689
question,nl,88,8.195886046919277
buy,zh,89,8.181957871208432
week,nl,90,8.127413689057283
want,es,91,8.114214891548512
fight,zh,92,7.988899143620619
frequently,zh,93,7.913904462202631
even,en,94,7.913424524311982
early,nl,95,7.896758700927141
kid,en,96,7.830452494425863
penalty,es,97,7.751398416670927
law,es,98,7.703897800990649
shame,nl,99,7.65843373762148
couple,nl,100,7.649338364788731
next,en,101,7.637040591621751
here,nl,102,7.632247828184443
hit,en,103,7.612946862640744
country,es,104,7.593612595295199
around,en,105,7.578604250068029
about,en,106,7.557749128976215
